depth,seed,dataset,attack,positions,correct,token_accuracy,distinct_token_types,macro_token_type_accuracy,exact_sequence_match,non_special_token_accuracy,exact_decoded_text_match,training_seen_positions,training_seen_token_accuracy
4,42,public_test,mlp,8192,6784,0.828125,2172,0.6039901780233271,False,0.828125,False,6899,0.9833309175242789
4,42,public_test,cosine,8192,184,0.0224609375,2172,0.039894312350657206,False,0.0224609375,False,6899,0.019713001884331064
4,42,current_prompt,mlp,4096,2252,0.5498046875,92,0.6130434782608696,False,0.5504766560743095,False,3221,0.6991617510090035
4,42,current_prompt,cosine,4096,556,0.1357421875,92,0.09373755535082766,False,0.13590809093131265,False,3221,0.10648866811549208
4,42,current_output_inputs,mlp,78,63,0.8076923076923077,57,0.7719298245614035,False,0.8076923076923077,False,67,0.9402985074626866
4,42,current_output_inputs,cosine,78,4,0.05128205128205128,57,0.07017543859649122,False,0.05128205128205128,False,67,0.04477611940298507
4,43,public_test,mlp,8192,6767,0.8260498046875,2172,0.6023020257826888,False,0.8260498046875,False,6899,0.9808667922887375
4,43,public_test,cosine,8192,184,0.0224609375,2172,0.039894312350657206,False,0.0224609375,False,6899,0.019713001884331064
4,43,current_prompt,mlp,4096,2170,0.52978515625,92,0.6087991718426501,False,0.5304326570520655,False,3221,0.6737038186898479
4,43,current_prompt,cosine,4096,556,0.1357421875,92,0.09373755535082766,False,0.13590809093131265,False,3221,0.10648866811549208
4,43,current_output_inputs,mlp,78,63,0.8076923076923077,57,0.7719298245614035,False,0.8076923076923077,False,67,0.9402985074626866
4,43,current_output_inputs,cosine,78,4,0.05128205128205128,57,0.07017543859649122,False,0.05128205128205128,False,67,0.04477611940298507
9,42,public_test,mlp,8192,6549,0.7994384765625,2172,0.5507466236955186,False,0.7994384765625,False,6899,0.949268009856501
9,42,public_test,cosine,8192,123,0.0150146484375,2172,0.02978648529516928,False,0.0150146484375,False,6899,0.014784751413248297
9,42,current_prompt,mlp,4096,1748,0.4267578125,92,0.5655799577996374,False,0.4272793937912491,False,3221,0.5426886060229742
9,42,current_prompt,cosine,4096,331,0.080810546875,92,0.02800231804808464,False,0.08090931312637496,False,3221,0.037565973300217326
9,42,current_output_inputs,mlp,78,55,0.7051282051282052,57,0.7192982456140351,False,0.7051282051282052,False,67,0.8208955223880597
9,42,current_output_inputs,cosine,78,1,0.01282051282051282,57,0.017543859649122806,False,0.01282051282051282,False,67,0.014925373134328358
9,43,public_test,mlp,8192,6551,0.7996826171875,2172,0.5491987123271653,False,0.7996826171875,False,6899,0.9495579069430352
9,43,public_test,cosine,8192,123,0.0150146484375,2172,0.02978648529516928,False,0.0150146484375,False,6899,0.014784751413248297
9,43,current_prompt,mlp,4096,1562,0.38134765625,92,0.5574536638037781,False,0.38181373747250064,False,3221,0.48494256442098727
9,43,current_prompt,cosine,4096,331,0.080810546875,92,0.02800231804808464,False,0.08090931312637496,False,3221,0.037565973300217326
9,43,current_output_inputs,mlp,78,58,0.7435897435897436,57,0.7280701754385965,False,0.7435897435897436,False,67,0.8656716417910447
9,43,current_output_inputs,cosine,78,1,0.01282051282051282,57,0.017543859649122806,False,0.01282051282051282,False,67,0.014925373134328358
18,42,public_test,mlp,8192,6227,0.7601318359375,2172,0.477858923756381,False,0.7601318359375,False,6899,0.9025945789244818
18,42,public_test,cosine,8192,36,0.00439453125,2172,0.00505750757945904,False,0.00439453125,False,6899,0.005073199014349905
18,42,current_prompt,mlp,4096,830,0.20263671875,92,0.5195146958304854,False,0.2028843803471034,False,3221,0.2576839490841354
18,42,current_prompt,cosine,4096,1,0.000244140625,92,5.200748907842729e-05,False,0.0002444390124663896,False,3221,0.0003104625892579944
18,42,current_output_inputs,mlp,78,57,0.7307692307692307,57,0.6812865497076024,False,0.7307692307692307,False,67,0.8507462686567164
18,42,current_output_inputs,cosine,78,0,0.0,57,0.0,False,0.0,False,67,0.0
18,43,public_test,mlp,8192,6229,0.7603759765625,2172,0.4897883211571181,False,0.7603759765625,False,6899,0.9028844760110161
18,43,public_test,cosine,8192,36,0.00439453125,2172,0.00505750757945904,False,0.00439453125,False,6899,0.005073199014349905
18,43,current_prompt,mlp,4096,1122,0.27392578125,92,0.5021746560076079,False,0.27426057198728915,False,3221,0.3483390251474697
18,43,current_prompt,cosine,4096,1,0.000244140625,92,5.200748907842729e-05,False,0.0002444390124663896,False,3221,0.0003104625892579944
18,43,current_output_inputs,mlp,78,53,0.6794871794871795,57,0.6403508771929824,False,0.6794871794871795,False,67,0.7910447761194029
18,43,current_output_inputs,cosine,78,0,0.0,57,0.0,False,0.0,False,67,0.0
27,42,public_test,mlp,8192,6213,0.7584228515625,2172,0.4777072074145343,False,0.7584228515625,False,6899,0.9005652993187419
27,42,public_test,cosine,8192,24,0.0029296875,2172,0.005093995471116624,False,0.0029296875,False,6899,0.003188867951877084
27,42,current_prompt,mlp,4096,787,0.192138671875,92,0.4833442301405688,False,0.19237350281104865,False,3221,0.2443340577460416
27,42,current_prompt,cosine,4096,0,0.0,92,0.0,False,0.0,False,3221,0.0
27,42,current_output_inputs,mlp,78,43,0.5512820512820513,57,0.5058479532163742,False,0.5512820512820513,False,67,0.6417910447761194
27,42,current_output_inputs,cosine,78,0,0.0,57,0.0,False,0.0,False,67,0.0
27,43,public_test,mlp,8192,6145,0.7501220703125,2172,0.4719792235854036,False,0.7501220703125,False,6899,0.8907087983765763
27,43,public_test,cosine,8192,24,0.0029296875,2172,0.005093995471116624,False,0.0029296875,False,6899,0.003188867951877084
27,43,current_prompt,mlp,4096,916,0.2236328125,92,0.4846268338831268,False,0.2239061354192129,False,3221,0.2843837317603229
27,43,current_prompt,cosine,4096,0,0.0,92,0.0,False,0.0,False,3221,0.0
27,43,current_output_inputs,mlp,78,41,0.5256410256410257,57,0.45614035087719296,False,0.5256410256410257,False,67,0.6119402985074627
27,43,current_output_inputs,cosine,78,0,0.0,57,0.0,False,0.0,False,67,0.0
36,42,public_test,mlp,8192,4948,0.60400390625,2172,0.2422787675189795,False,0.60400390625,False,6899,0.7172053920858096
36,42,public_test,cosine,8192,148,0.01806640625,2172,0.0009597701095230549,False,0.01806640625,False,6899,0.021017538773735325
