system,target_arrival_rate,actual_arrival_rate,completed_qps,goodput_qps,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,arrival_slo,completion_slo,slo_pass,duration_s,mean_inflight,peak_inflight,requests,ttft_failures,tpot_failures,errors,p99_dispatch_lag_ms,max_waiting_sampled,all_outputs_match,measurement_arrivals_completed_before_load_stop,raw_path
baseline,0.5,0.3,0.31666666666666665,0.31666666666666665,885.988342847971,1508.872373947706,44.13170190883437,61.999719021155336,1.0,1.0,True,60,1.350492588483515,4,18,0,0,0,1.9081969564285821,1,True,True,baseline/rate-0.500
baseline,0.75,0.55,0.5333333333333333,0.5333333333333333,978.0854786307222,2015.7238736827273,56.076104911036495,114.83862752975814,0.9696969696969697,1.0,False,60,2.766143889499896,7,33,0,1,0,1.7773234161722937,2,True,True,baseline/refine-0.750
baseline,1.0,0.8833333333333333,0.7166666666666667,0.45,1179.210669939013,2317.7333360676125,120.62642468238793,269.0647857702406,0.5283018867924528,0.627906976744186,False,60,9.06521053546694,26,53,0,25,0,2.1525172155816104,2,True,True,baseline/rate-1.000
optimized,0.5,0.3,0.31666666666666665,0.31666666666666665,667.16143807005,712.9600654966998,32.39455120939883,34.58409290012824,1.0,1.0,True,60,1.0077751525834173,4,18,0,0,0,1.8739228678168716,0,True,True,optimized/rate-0.500
optimized,1.0,0.8833333333333333,0.8833333333333333,0.8833333333333333,633.7658404309483,735.4051936806353,35.2419672651151,38.899495034881205,1.0,1.0,True,60,3.0546611748500556,7,53,0,0,0,1.913446571852545,1,True,True,optimized/rate-1.000
optimized,1.5,1.5333333333333334,1.4333333333333333,1.4333333333333333,616.1949658166043,821.7551557372647,40.01176281396289,48.287130333976215,1.0,1.0,True,60,5.435080054166732,13,92,0,0,0,2.0111048247053986,0,True,True,optimized/rate-1.500
optimized,2.0,1.9833333333333334,2.033333333333333,2.033333333333333,614.6858475167544,1146.1656831978319,42.48402239010957,54.81429892125631,1.0,1.0,True,60,7.9322182131504935,17,119,0,0,0,1.9751072991493852,0,True,True,optimized/rate-2.000
optimized,3.0,3.066666666666667,3.1666666666666665,3.1666666666666665,661.5006820254918,1147.5195060512121,51.227511298772974,61.900029801389536,1.0,1.0,True,60,14.443146416366714,25,184,0,0,0,2.0630258404708,1,True,True,optimized/rate-3.000
optimized,4.135823836327486,4.433333333333334,4.425,4.425,885.1703990587229,2008.2479707002462,69.39538605441567,89.74185938844428,1.0,1.0,True,120,28.13926460094126,47,532,0,0,0,2.0677425814574226,1,True,True,optimized/rate-4.136
optimized,4.440035098628993,4.7,4.775,4.775,998.9022992860156,2307.0208744766205,76.89620917319112,95.84353619818918,1.0,1.0,True,120,33.131475712941516,51,564,0,0,0,1.997639845831145,2,True,True,optimized/refine-4.440
optimized,4.744246360930501,5.041666666666667,5.041666666666667,4.508333333333334,1121.7592095173288,2756.810808713927,86.44412839008307,106.29968612721244,0.8942148760330578,0.8942148760330578,False,120,39.63914414173329,58,605,0,64,0,2.01783949014498,1,True,True,optimized/rate-4.744
