role,rank,phase,operator,input_shapes,input_dtypes,calls,gpu_kernel_count,gpu_total_us,gpu_mean_us,gpu_min_us,gpu_max_us
cloud,0,prefill,aten.lift_fresh.default,[[4096]],"[""torch.int64""]",2,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.detach_.default,[[4096]],"[""torch.int64""]",2,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.lift_fresh.default,[[1]],"[""torch.int32""]",2,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.detach_.default,[[1]],"[""torch.int32""]",2,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.empty.memory_format,[],[],28,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.lift_fresh.default,[[2]],"[""torch.int32""]",2,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.detach_.default,[[2]],"[""torch.int32""]",2,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.lift_fresh.default,"[[4096, 2048]]","[""torch.float16""]",2,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.to.dtype_layout,"[[4096, 2048]]","[""torch.float16""]",6,0,0.0,0.0,0.0,0.0
cloud,0,prefill,c10d.broadcast_.default,"[[4096, 2048]]","[""torch.float16""]",2,2,1325.21,662.605,661.469,663.741
cloud,0,prefill,aten.detach.default,[[2048]],"[""torch.float16""]",54,0,0.0,0.0,0.0,0.0
cloud,0,prefill,_C.fused_add_rms_norm.default,"[[4096, 2048], [4096, 2048], [2048]]","[""torch.float16"", ""torch.float16"", ""torch.float16""]",54,54,7492.412,138.74837037037037,133.503,140.384
cloud,0,prefill,aten.linear.default,"[[4096, 2048], [1280, 2048], [1280]]","[""torch.float16"", ""torch.float16"", ""torch.float16""]",27,27,8573.852,317.5500740740741,290.591,331.806
cloud,0,prefill,aten.split_with_sizes.default,"[[4096, 1280]]","[""torch.float16""]",27,0,0.0,0.0,0.0,0.0
cloud,0,prefill,_C.rotary_embedding.default,"[[4096], [4096, 1024], [4096, 128], [32768, 128]]","[""torch.int64"", ""torch.float16"", ""torch.float16"", ""torch.float16""]",27,27,1330.62,49.28222222222222,46.624,50.88
cloud,0,prefill,aten.zeros.default,[],[],27,27,484.158,17.93177777777778,17.6,18.271
cloud,0,prefill,aten.view.default,"[[4096, 1024]]","[""torch.float16""]",54,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.view.default,"[[4096, 128]]","[""torch.float16""]",54,0,0.0,0.0,0.0,0.0
cloud,0,prefill,vllm.unified_attention_with_output.default,"[[4096, 8, 128], [4096, 1, 128], [4096, 1, 128], [4096, 8, 128]]","[""torch.float16"", ""torch.float16"", ""torch.float16"", ""torch.float16""]",27,54,14638.561,542.1689259259259,490.174,579.646
cloud,0,prefill,aten.view.default,"[[4096, 8, 128]]","[""torch.float16""]",27,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.linear.default,"[[4096, 1024], [2048, 1024]]","[""torch.float16"", ""torch.float16""]",27,27,5962.854,220.84644444444444,196.575,233.823
cloud,0,prefill,vllm.all_reduce.default,"[[4096, 2048]]","[""torch.float16""]",54,0,0.0,0.0,0.0,0.0
cloud,0,prefill,pynccl.all_reduce,"[[4096, 2048]]","[""torch.float16""]",54,54,67826.527,1256.0467962962964,1228.539,1332.986
cloud,0,prefill,aten.linear.default,"[[4096, 2048], [11008, 2048]]","[""torch.float16"", ""torch.float16""]",27,27,59917.956,2219.1835555555554,2068.599,2302.518
cloud,0,prefill,_C.silu_and_mul.default,"[[4096, 5504], [4096, 11008]]","[""torch.float16"", ""torch.float16""]",27,27,8072.827,298.99359259259256,291.486,303.487
cloud,0,prefill,aten.linear.default,"[[4096, 5504], [2048, 5504]]","[""torch.float16"", ""torch.float16""]",27,27,28186.186,1043.9328148148147,962.396,1092.795
cloud,0,prefill,aten.detach.default,"[[4096, 2048]]","[""torch.float16""]",2,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.resolve_conj.default,"[[4096, 2048]]","[""torch.float16""]",2,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.resolve_neg.default,"[[4096, 2048]]","[""torch.float16""]",2,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.lift_fresh.default,[[1]],"[""torch.int64""]",16,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.detach_.default,[[1]],"[""torch.int64""]",16,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.lift_fresh.default,[[1]],"[""torch.int32""]",16,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.detach_.default,[[1]],"[""torch.int32""]",16,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.lift_fresh.default,"[[1, 257]]","[""torch.int32""]",8,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.detach_.default,"[[1, 257]]","[""torch.int32""]",8,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.lift_fresh.default,[[2]],"[""torch.int32""]",16,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.detach_.default,[[2]],"[""torch.int32""]",16,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.lift_fresh.default,"[[1, 2048]]","[""torch.float16""]",16,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.to.dtype_layout,"[[1, 2048]]","[""torch.float16""]",48,0,0.0,0.0,0.0,0.0
cloud,0,decode,c10d.broadcast_.default,"[[1, 2048]]","[""torch.float16""]",16,16,95.04,5.94,5.248,6.848
cloud,0,decode,aten.detach.default,[[2048]],"[""torch.float16""]",432,0,0.0,0.0,0.0,0.0
cloud,0,decode,_C.fused_add_rms_norm.default,"[[1, 2048], [1, 2048], [2048]]","[""torch.float16"", ""torch.float16"", ""torch.float16""]",432,432,1170.622,2.709773148148148,2.592,2.911
cloud,0,decode,aten.linear.default,"[[1, 2048], [1280, 2048], [1280]]","[""torch.float16"", ""torch.float16"", ""torch.float16""]",216,216,3031.031,14.032550925925925,13.632,14.624
cloud,0,decode,aten.split_with_sizes.default,"[[1, 1280]]","[""torch.float16""]",216,0,0.0,0.0,0.0,0.0
cloud,0,decode,_C.rotary_embedding.default,"[[1], [1, 1024], [1, 128], [32768, 128]]","[""torch.int64"", ""torch.float16"", ""torch.float16"", ""torch.float16""]",216,216,524.862,2.4299166666666667,2.336,2.528
cloud,0,decode,aten.zeros.default,[],[],216,216,252.192,1.1675555555555557,1.152,1.184
cloud,0,decode,aten.view.default,"[[1, 1024]]","[""torch.float16""]",432,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.view.default,"[[1, 128]]","[""torch.float16""]",432,0,0.0,0.0,0.0,0.0
cloud,0,decode,vllm.unified_attention_with_output.default,"[[1, 8, 128], [1, 1, 128], [1, 1, 128], [1, 8, 128]]","[""torch.float16"", ""torch.float16"", ""torch.float16"", ""torch.float16""]",216,656,4869.23,22.542731481481482,22.048,24.384
cloud,0,decode,aten.view.default,"[[1, 8, 128]]","[""torch.float16""]",216,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.linear.default,"[[1, 1024], [2048, 1024]]","[""torch.float16"", ""torch.float16""]",216,216,2777.049,12.856708333333334,12.672,14.56
cloud,0,decode,vllm.all_reduce.default,"[[1, 2048]]","[""torch.float16""]",432,0,0.0,0.0,0.0,0.0
cloud,0,decode,pynccl.all_reduce,"[[1, 2048]]","[""torch.float16""]",432,432,78198.132,181.01419444444443,8.16,1324.411
cloud,0,decode,aten.linear.default,"[[1, 2048], [11008, 2048]]","[""torch.float16"", ""torch.float16""]",216,216,20206.825,93.55011574074075,93.119,97.088
cloud,0,decode,aten.empty.memory_format,[],[],216,0,0.0,0.0,0.0,0.0
cloud,0,decode,_C.silu_and_mul.default,"[[1, 5504], [1, 11008]]","[""torch.float16"", ""torch.float16""]",216,216,795.035,3.680717592592593,3.52,3.968
cloud,0,decode,aten.linear.default,"[[1, 5504], [2048, 5504]]","[""torch.float16"", ""torch.float16""]",216,432,12505.384,57.8952962962963,57.056,58.88
cloud,0,decode,aten.detach.default,"[[1, 2048]]","[""torch.float16""]",16,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.resolve_conj.default,"[[1, 2048]]","[""torch.float16""]",16,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.resolve_neg.default,"[[1, 2048]]","[""torch.float16""]",16,0,0.0,0.0,0.0,0.0
enterprise,0,prefill,aten.lift_fresh.default,[[4096]],"[""torch.int64""]",3,0,0.0,0.0,0.0,0.0
enterprise,0,prefill,aten.detach_.default,[[4096]],"[""torch.int64""]",3,0,0.0,0.0,0.0,0.0
