role,rank,phase,operator,input_shapes,input_dtypes,calls,gpu_kernel_count,gpu_total_us,gpu_mean_us,gpu_min_us,gpu_max_us
cloud,0,prefill,aten.lift_fresh.default,[[1024]],"[""torch.int64""]",8,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.detach_.default,[[1024]],"[""torch.int64""]",8,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.lift_fresh.default,[[1]],"[""torch.int32""]",8,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.detach_.default,[[1]],"[""torch.int32""]",8,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.lift_fresh.default,"[[1, 64]]","[""torch.int32""]",1,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.detach_.default,"[[1, 64]]","[""torch.int32""]",1,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.lift_fresh.default,[[2]],"[""torch.int32""]",8,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.detach_.default,[[2]],"[""torch.int32""]",8,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.lift_fresh.default,"[[1024, 2048]]","[""torch.float16""]",8,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.to.dtype_layout,"[[1024, 2048]]","[""torch.float16""]",24,0,0.0,0.0,0.0,0.0
cloud,0,prefill,c10d.broadcast_.default,"[[1024, 2048]]","[""torch.float16""]",8,8,1450.206,181.27575,177.728,185.119
cloud,0,prefill,aten.detach.default,[[2048]],"[""torch.float16""]",216,0,0.0,0.0,0.0,0.0
cloud,0,prefill,_C.fused_add_rms_norm.default,"[[1024, 2048], [1024, 2048], [2048]]","[""torch.float16"", ""torch.float16"", ""torch.float16""]",216,216,6512.637,30.151097222222223,26.656,32.064
cloud,0,prefill,aten.linear.default,"[[1024, 2048], [1280, 2048], [1280]]","[""torch.float16"", ""torch.float16"", ""torch.float16""]",108,108,8265.14,76.52907407407407,72.256,81.504
cloud,0,prefill,aten.split_with_sizes.default,"[[1024, 1280]]","[""torch.float16""]",108,0,0.0,0.0,0.0,0.0
cloud,0,prefill,_C.rotary_embedding.default,"[[1024], [1024, 1024], [1024, 128], [32768, 128]]","[""torch.int64"", ""torch.float16"", ""torch.float16"", ""torch.float16""]",108,108,1242.75,11.506944444444445,10.816,12.448
cloud,0,prefill,aten.zeros.default,[],[],108,108,313.088,2.898962962962963,2.656,3.232
cloud,0,prefill,aten.view.default,"[[1024, 1024]]","[""torch.float16""]",216,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.view.default,"[[1024, 128]]","[""torch.float16""]",216,0,0.0,0.0,0.0,0.0
cloud,0,prefill,vllm.unified_attention_with_output.default,"[[1024, 8, 128], [1024, 1, 128], [1024, 1, 128], [1024, 8, 128]]","[""torch.float16"", ""torch.float16"", ""torch.float16"", ""torch.float16""]",108,216,17669.812,163.60937037037036,64.48,275.648
cloud,0,prefill,aten.view.default,"[[1024, 8, 128]]","[""torch.float16""]",108,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.linear.default,"[[1024, 1024], [2048, 1024]]","[""torch.float16"", ""torch.float16""]",108,108,5529.721,51.201120370370376,48.8,55.136
cloud,0,prefill,vllm.all_reduce.default,"[[1024, 2048]]","[""torch.float16""]",216,0,0.0,0.0,0.0,0.0
cloud,0,prefill,pynccl.all_reduce,"[[1024, 2048]]","[""torch.float16""]",216,216,76954.87,356.2725462962963,324.991,912.287
cloud,0,prefill,aten.linear.default,"[[1024, 2048], [11008, 2048]]","[""torch.float16"", ""torch.float16""]",108,108,59028.237,546.55775,533.888,561.312
cloud,0,prefill,aten.empty.memory_format,[],[],108,0,0.0,0.0,0.0,0.0
cloud,0,prefill,_C.silu_and_mul.default,"[[1024, 5504], [1024, 11008]]","[""torch.float16"", ""torch.float16""]",108,108,8312.024,76.96318518518518,75.264,78.88
cloud,0,prefill,aten.linear.default,"[[1024, 5504], [2048, 5504]]","[""torch.float16"", ""torch.float16""]",108,108,25986.408,240.61488888888888,231.551,255.135
cloud,0,prefill,aten.detach.default,"[[1024, 2048]]","[""torch.float16""]",8,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.resolve_conj.default,"[[1024, 2048]]","[""torch.float16""]",8,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.resolve_neg.default,"[[1024, 2048]]","[""torch.float16""]",8,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.lift_fresh.default,"[[1, 128]]","[""torch.int32""]",1,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.detach_.default,"[[1, 128]]","[""torch.int32""]",1,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.lift_fresh.default,"[[1, 192]]","[""torch.int32""]",1,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.detach_.default,"[[1, 192]]","[""torch.int32""]",1,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.lift_fresh.default,"[[1, 256]]","[""torch.int32""]",1,0,0.0,0.0,0.0,0.0
cloud,0,prefill,aten.detach_.default,"[[1, 256]]","[""torch.int32""]",1,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.lift_fresh.default,[[1]],"[""torch.int64""]",16,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.detach_.default,[[1]],"[""torch.int64""]",16,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.lift_fresh.default,[[1]],"[""torch.int32""]",16,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.detach_.default,[[1]],"[""torch.int32""]",16,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.lift_fresh.default,"[[1, 257]]","[""torch.int32""]",8,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.detach_.default,"[[1, 257]]","[""torch.int32""]",8,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.lift_fresh.default,[[2]],"[""torch.int32""]",16,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.detach_.default,[[2]],"[""torch.int32""]",16,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.lift_fresh.default,"[[1, 2048]]","[""torch.float16""]",16,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.to.dtype_layout,"[[1, 2048]]","[""torch.float16""]",48,0,0.0,0.0,0.0,0.0
cloud,0,decode,c10d.broadcast_.default,"[[1, 2048]]","[""torch.float16""]",16,16,96.224,6.014,5.28,7.04
cloud,0,decode,aten.detach.default,[[2048]],"[""torch.float16""]",432,0,0.0,0.0,0.0,0.0
cloud,0,decode,_C.fused_add_rms_norm.default,"[[1, 2048], [1, 2048], [2048]]","[""torch.float16"", ""torch.float16"", ""torch.float16""]",432,432,1160.798,2.6870324074074072,2.592,2.912
cloud,0,decode,aten.linear.default,"[[1, 2048], [1280, 2048], [1280]]","[""torch.float16"", ""torch.float16"", ""torch.float16""]",216,216,3039.806,14.073175925925925,13.6,14.592
cloud,0,decode,aten.split_with_sizes.default,"[[1, 1280]]","[""torch.float16""]",216,0,0.0,0.0,0.0,0.0
cloud,0,decode,_C.rotary_embedding.default,"[[1], [1, 1024], [1, 128], [32768, 128]]","[""torch.int64"", ""torch.float16"", ""torch.float16"", ""torch.float16""]",216,216,526.047,2.435402777777778,2.368,2.592
cloud,0,decode,aten.zeros.default,[],[],216,216,253.92,1.1755555555555557,1.152,1.248
cloud,0,decode,aten.view.default,"[[1, 1024]]","[""torch.float16""]",432,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.view.default,"[[1, 128]]","[""torch.float16""]",432,0,0.0,0.0,0.0,0.0
cloud,0,decode,vllm.unified_attention_with_output.default,"[[1, 8, 128], [1, 1, 128], [1, 1, 128], [1, 8, 128]]","[""torch.float16"", ""torch.float16"", ""torch.float16"", ""torch.float16""]",216,656,4915.162,22.75537962962963,22.303,25.184
cloud,0,decode,aten.view.default,"[[1, 8, 128]]","[""torch.float16""]",216,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.linear.default,"[[1, 1024], [2048, 1024]]","[""torch.float16"", ""torch.float16""]",216,216,2787.804,12.9065,12.672,14.656
cloud,0,decode,vllm.all_reduce.default,"[[1, 2048]]","[""torch.float16""]",432,0,0.0,0.0,0.0,0.0
cloud,0,decode,pynccl.all_reduce,"[[1, 2048]]","[""torch.float16""]",432,432,137034.827,317.21024768518515,8.128,952.576
cloud,0,decode,aten.linear.default,"[[1, 2048], [11008, 2048]]","[""torch.float16"", ""torch.float16""]",216,216,20209.737,93.56359722222221,93.216,96.896
cloud,0,decode,aten.empty.memory_format,[],[],216,0,0.0,0.0,0.0,0.0
cloud,0,decode,_C.silu_and_mul.default,"[[1, 5504], [1, 11008]]","[""torch.float16"", ""torch.float16""]",216,216,812.287,3.760587962962963,3.552,4.0
cloud,0,decode,aten.linear.default,"[[1, 5504], [2048, 5504]]","[""torch.float16"", ""torch.float16""]",216,432,12510.355,57.918310185185184,57.44,59.36
cloud,0,decode,aten.detach.default,"[[1, 2048]]","[""torch.float16""]",16,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.resolve_conj.default,"[[1, 2048]]","[""torch.float16""]",16,0,0.0,0.0,0.0,0.0
cloud,0,decode,aten.resolve_neg.default,"[[1, 2048]]","[""torch.float16""]",16,0,0.0,0.0,0.0,0.0
enterprise,0,prefill,aten.lift_fresh.default,[[1024]],"[""torch.int64""]",20,0,0.0,0.0,0.0,0.0
enterprise,0,prefill,aten.detach_.default,[[1024]],"[""torch.int64""]",20,0,0.0,0.0,0.0,0.0
enterprise,0,prefill,aten.lift_fresh.default,[[1]],"[""torch.int32""]",16,0,0.0,0.0,0.0,0.0
enterprise,0,prefill,aten.detach_.default,[[1]],"[""torch.int32""]",16,0,0.0,0.0,0.0,0.0
enterprise,0,prefill,aten.lift_fresh.default,"[[1, 64]]","[""torch.int32""]",2,0,0.0,0.0,0.0,0.0
enterprise,0,prefill,aten.detach_.default,"[[1, 64]]","[""torch.int32""]",2,0,0.0,0.0,0.0,0.0
enterprise,0,prefill,aten.lift_fresh.default,[[2]],"[""torch.int32""]",16,0,0.0,0.0,0.0,0.0
enterprise,0,prefill,aten.detach_.default,[[2]],"[""torch.int32""]",16,0,0.0,0.0,0.0,0.0
enterprise,0,prefill,aten.ge.Scalar,[[1024]],"[""torch.int64""]",8,8,13.856,1.732,1.536,1.984
