variant,concurrency,server_max_active,minimum_seconds,minimum_worker_cycles,completed_qps,goodput_qps,requests,duration_s,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_e2e_ms,p99_e2e_ms,slo_attainment,slo_pass,little_law_concurrency_estimate,start_cohort_slo_attainment
baseline,1,8,,,0.29957816459308506,0.29957816459308506,20,66.76053986499937,806.4720227999715,807.8933285005405,833.4940970990829,834.4687986193276,32.43257268782028,32.31789908975257,33.11945661152305,34.00241597871662,3336.462682099682,3440.907775239939,1.0,True,0.9995313665367445,1.0
baseline,2,8,,,0.4760509130357111,0.4760509130357111,20,42.012313078999796,1218.5852988000988,1197.3806634996436,1647.6006923509885,1648.3484464689718,38.22551867692243,38.21107010897042,43.495407678856516,43.529417863971666,4200.67448255013,4243.685868090433,1.0,True,1.9997349227838028,1.0
baseline,4,8,,,0.6657207880696372,0.5325766304557098,20,30.042625013998986,1937.364228450042,1902.7597820004303,3122.6335949011627,3160.851758980025,48.48231887371862,48.09643807052802,63.67578612691712,64.0347348869331,5719.8907344500185,5820.814624390405,0.8,False,3.8078501674102823,0.85
baseline,8,16,60,6,0.9300774622071297,0.3653875744385152,56,60.21003870700042,3297.1079453392836,3285.5263205001393,5855.310239750452,6141.5252229006,67.88870954235311,67.96300260897718,100.11129268911226,103.61703668526481,8594.270102624965,8931.964304800204,0.39285714285714285,False,7.993336926572035,0.42857142857142855
baseline,12,16,60,6,1.0325199278236759,0.0,72,69.73231030200077,4776.492130166818,4731.689487999574,8811.668152300808,8940.873848190531,87.56271516310375,87.14585729487038,139.18064191474608,140.6798123469131,11609.076377083284,11751.630685560267,0.0,False,11.986602702965573,0.0
baseline,16,16,60,6,1.0914545875958934,0.0,96,87.95601859300041,6331.412125239752,6431.621346499924,11550.37634224982,11828.050551051272,106.97518356290027,107.08763351281866,174.7422967980816,179.17562731731195,14679.258654572948,15318.146536250151,0.0,False,16.021744201040367,0.0
stage123,1,8,,,0.3318204111153789,0.3318204111153789,20,60.27356765900004,447.43966475025445,445.9444775002339,463.25689000022976,465.01711080101813,32.86518425769104,32.80157880128452,33.097945396149534,33.11034312025069,3011.1662462502863,3040.288947441313,1.0,True,0.9991664217675222,1.0
stage123,2,8,,,0.5794259714556643,0.5794259714556643,20,34.51692016799825,552.0181814497846,554.0909819992521,564.9805149493659,565.8395117901273,37.22912172756762,37.24964774999488,37.48062111282171,37.49516494052935,3456.1569727999085,3477.594783460663,1.0,True,2.002587111467855,1.0
stage123,4,8,,,0.9332868454444858,0.9332868454444858,28,30.001494328000263,544.6852561783869,543.2419594999374,583.420867249697,605.5294156896343,45.92808789514896,45.78230082692104,47.02657632499909,47.12795848166001,4127.372454464356,4244.014483730043,1.0,True,3.852022418001504,1.0
stage123,8,16,60,6,1.4263848331756914,1.4263848331756914,86,60.29228438199971,563.8824918837071,563.9154450000206,626.3208237496656,636.3447496997651,64.28484468574763,63.720075615387586,69.00112336539586,70.04319480897371,5578.419532895209,6014.2644661503255,1.0,True,7.956973014812751,1.0
stage123,12,16,60,6,1.7469396853791272,1.7469396853791272,105,60.10510888200042,556.0731963142773,563.6033909995604,590.9478792007576,603.2919402400148,80.55794048022007,80.54507821795526,81.76202080768958,82.67836247640867,6839.9465527904495,6956.007941559874,1.0,True,11.948974078941793,1.0
stage123,16,16,60,6,1.965151247487751,1.965151247487751,118,60.04626877999908,550.9480486525255,549.824064499262,565.5419776993767,568.2405693209694,96.42002340634316,96.31638488461903,97.37903450575523,97.73019955281387,8072.079257152482,8158.57842230982,1.0,True,15.862856622013197,1.0
