system,stage,concurrency,server_max_active,server_kv_blocks,requests,duration_s,completed_qps,goodput_qps,slo_attainment,start_cohort_slo_attainment,slo_pass,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_e2e_ms,p99_e2e_ms,mean_first_second_ms,p99_first_second_ms,p99_token_itl_ms,p99_max_itl_ms,ttft_violation_fraction,tpot_violation_fraction,little_law_concurrency,mean_active,mean_pd_reserving,peak_active,peak_waiting,peak_kv_blocks,mean_first_prefill_wait_ms,mean_prefill_pipeline_span_ms,request_weighted_decode_batch_size,minimum_seconds,minimum_worker_cycles,variant
baseline,coarse,1,96,32768,14,47.37010579699927,0.2955450439565379,0.2955450439565379,1.0,1.0,True,826.1537875717165,849.471308819011,32.768777788451416,33.11041502346015,3382.3636880006234,3401.394929530288,36.443913785270915,40.00259540716797,39.83424036116048,42.35857288698753,0.0,0.0,0.999640824847142,1.0,0.0,1,1,261,9.482630070643998,,1.0,45,3,baseline-coarse-c1
baseline,coarse,2,96,32768,22,46.554425430000265,0.47256517069638065,0.47256517069638065,1.0,1.0,True,1231.602464454971,1671.310085700934,38.44874753671286,43.88493039704348,4231.034220682308,4279.709560599404,438.88713495438094,856.4621338712459,42.26497629806543,856.4621338712459,0.0,0.0,1.9994394087189629,2.0,0.0,2,0,522,418.655922590915,,2.0,45,3,baseline-coarse-c2
baseline,confirm,3,96,32768,114,184.5591944480002,0.6176880016244308,0.6176880016244308,1.0,1.0,True,1473.7213525527056,2285.4104701999313,43.34435307017514,53.7327022440933,4855.225007377285,5096.705696811623,757.2416174560586,1536.868685677764,46.63007502869732,1536.868685677764,0.0,0.0,2.9990142322438373,2.847058823529412,0.0,3,3,783,742.7913240964635,,3.0,180,6,baseline-confirm-c3
baseline,confirm,4,96,32768,132,182.2256937530001,0.724376443746297,0.7024256424206515,0.9696969696969697,0.9772727272727273,False,1823.4570634317192,3042.144302700035,47.41276006060769,62.68708823408722,5522.496090181862,5770.950982489994,1103.9977683711627,2290.3349045297364,45.401801398474774,2290.3349045297364,0.030303030303030304,0.0,4.000366078408766,3.5791044776119403,0.0,4,4,1044,1101.6712385908525,,4.0,180,6,baseline-repeat-c4
baseline,confirm,5,96,32768,145,181.91792946799978,0.7970627217671042,0.6376501774136834,0.8,0.8,False,2140.9816958897113,3595.1663306815317,52.95652736303956,71.85479522101582,6272.641340724132,6440.708127360849,1443.2816277929994,2899.5300317190413,718.7879477422027,2899.5300317190413,0.2,0.0,4.999688579706434,4.3104477611940295,0.0,5,5,1305,1429.8086141240642,,5.0,180,6,baseline-confirm-c5
baseline,coarse,8,96,32768,48,51.923464247000084,0.9244375485361271,0.34666408070104765,0.375,0.3958333333333333,False,3321.3368136042996,5960.112522609161,68.29843500560806,102.07429623910147,8650.466692229276,8746.900353410128,2611.3121820413503,5230.102586730136,781.5089921687505,5230.102586730136,0.5208333333333334,0.10416666666666667,7.996816222657852,6.1875,0.0,8,6,2088,2577.540238458141,,8.0,45,3,baseline-coarse-c8
baseline,coarse,16,96,32768,64,57.86634409199905,1.1059969487315342,0.0,0.0,0.0,False,6135.081625390683,11606.038271110265,106.9125027656256,176.69253580181154,14477.002783187516,14585.125105830193,5420.208232984407,10889.966594630241,2151.045223629955,10889.966594630241,0.75,0.5625,16.01152090498332,10.757009345794392,0.0,16,14,4176,5396.2820546563535,,16.0,45,3,baseline-coarse-c16
optimized,coarse,1,96,32768,16,46.16663168699961,0.3465706597023745,0.3465706597023745,1.0,1.0,True,496.06751331248233,527.7794106004876,30.651346355771473,30.734966865992856,2887.1077230003266,2919.1699504002827,31.321526812462253,31.637078248604666,32.62499952073995,35.6298845501442,0.0,0.0,1.0005868281920436,1.0,0.0,1,0,261,17.71974156307988,477.733075375,1.0,45,3,optimized-coarse-c1
optimized,coarse,2,96,32768,29,45.47188066699891,0.6377567757175847,0.6377567757175847,1.0,1.0,True,522.8508854136102,548.2598097200389,32.309750219723966,32.62893881436657,3043.2699978960513,3054.2377790011233,34.521705655512555,37.56292051926721,44.6239897617124,49.743713600037154,0.0,0.0,1.9408660614962463,1.9743589743589745,0.01282051282051282,2,1,522,108.6993732411286,413.60800900000004,1.9102564102564104,45,3,optimized-coarse-c2
optimized,coarse,4,96,32768,54,45.013990399998875,1.199627038619561,1.199627038619561,1.0,1.0,True,541.9752207963703,621.8801031918701,34.69160117212703,35.62012573743208,3248.173315740671,3329.9329764388312,39.37371211092492,83.19468740108276,51.78305035027735,83.19468740108276,0.0,0.0,3.896596535685062,3.9615384615384617,0.038461538461538464,4,0,1042,163.06498101871045,378.4623969444445,3.593542260208927,45,3,optimized-coarse-c4
