enterprise_tp,cloud_tp,total_gpus,isl,osl,client_concurrency,repeats,requests,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,tpot_mean_ms,tpot_p50_ms,tpot_p95_ms,qps_repeat_mean,qps_repeat_std,qps_repeat_min,qps_repeat_max,success_rate
1,1,2,512,128,1,3,24,102.81079245836129,101.04060300000128,110.30728005052879,28.816066211943756,28.806369338580705,28.92100224606569,0.2657689631412033,0.0006924211313258009,0.2653073711952723,0.26656513215888816,1.0
1,1,2,512,128,4,3,48,238.18464514583107,241.9568920004167,379.68725989985614,31.488554110071732,31.490604897638644,32.58920618543739,0.9439194951661688,0.0008211512370007816,0.9430635778088929,0.9447007857881169,1.0
1,1,2,2048,256,1,3,24,390.40879625016106,388.73162800064165,401.0973706503137,28.83528023464077,28.8500841686269,28.912132388823544,0.1291382603852472,0.0001907661925727512,0.12892523694668181,0.1292933262103814,1.0
1,1,2,2048,256,4,3,48,992.0782263751183,988.7991215000511,1589.0483329503695,33.319569564624615,33.291477462743764,35.67759974156919,0.42153855722671396,0.0009334320466325251,0.42070241987553597,0.42254565148167483,1.0
1,1,2,2048,1024,1,3,24,364.048316541736,363.1400145004591,372.235502550393,28.849015779406958,28.860544355327477,28.986489370136034,0.03347070496767623,1.9151047817065974e-05,0.03344972784343189,0.0334872542909981,1.0
1,1,2,2048,1024,4,3,48,910.4929959165702,908.7483929997688,1459.3924037996658,31.574028019367095,31.568525339687106,32.154115244917875,0.12044096938155731,0.00015646237733107015,0.12027534737779805,0.12058629029803587,1.0
1,1,2,8192,256,1,3,24,2200.227624749838,2194.8528865004846,2245.4283455503173,29.666217611273858,29.659225752941126,29.724702782938643,0.10240258537067878,6.182973321097735e-05,0.10233282630171443,0.10245062431745257,1.0
1,1,2,8192,256,4,3,48,5493.485224604115,5487.114340499829,8816.342570199504,45.789812455392116,45.72199071960366,58.84707674098429,0.23295889434945363,0.0006004327676810489,0.23257521661694036,0.23365084625961657,1.0
1,2,3,512,128,1,3,24,97.29533804170387,95.56329900078708,105.80112680063394,31.711718467849504,31.65556904724061,31.987893198030488,0.24243365359733646,0.0015861409367107747,0.24069277158455094,0.24379688303123093,1.0
1,2,3,512,128,4,3,48,224.2750081251567,225.0437780003267,353.60954920042786,33.79741217995442,33.81004874015383,34.849714677953514,0.885545845441769,0.0015294184881057486,0.8838022180057431,0.8866604418507077,1.0
1,2,3,2048,256,1,3,24,341.72464737518266,343.56052549901506,359.04516925011194,31.47766442287594,31.443058494116094,31.68262525961016,0.11949208468614972,0.0003866870579583096,0.11917842502168113,0.11992412369693106,1.0
1,2,3,2048,256,4,3,48,857.3787225833106,842.64674249971,1374.1146971997296,35.068723644934195,35.053762974509,37.07426873451029,0.4081439550004806,0.0005900481589797789,0.4075101611728478,0.40867738336225856,1.0
1,2,3,2048,1024,1,3,24,325.6198688332006,325.78549349909736,343.4847331499441,31.535952761323024,31.559242202835073,31.68309130791775,0.030687082158302004,9.26829122163246e-05,0.030596987204853737,0.030782152597146197,1.0
1,2,3,2048,1024,4,3,48,817.0455383542125,815.1433485008965,1297.616937249768,33.44906906264269,33.44191277957017,33.95284820356859,0.11416843751610256,0.00024627339496709915,0.11402239096624361,0.11445277427622487,1.0
1,2,3,8192,256,1,3,24,1919.4323782918066,1912.0561900008397,1974.7481718501149,32.07241516732068,32.091213915683674,32.296117688827366,0.09902774447450398,0.000141940660791819,0.09888665524117289,0.09917052151023847,1.0
1,2,3,8192,256,4,3,48,4810.283471750078,4774.992575000397,7725.642225899719,45.054126257107285,44.965064809801724,56.502842373919,0.24540343071381698,0.00010057466287280801,0.2452976000824689,0.24549776065146597,1.0
2,1,3,512,128,1,3,24,101.32214254144856,99.72104350163136,109.26857640115486,29.31418916863325,29.304581814959796,29.382763861831624,0.26147177802363275,0.00032327162268686374,0.2611000635474897,0.2616872292341289,1.0
2,1,3,512,128,4,3,48,234.09014874998016,237.39114700038044,368.4728091007855,31.99286141715868,32.00871123621842,33.09365167479688,0.9307440628206197,0.002249570479906317,0.9287059386828674,0.9331577950452673,1.0
2,1,3,2048,256,1,3,24,402.90613904183675,401.5738225007226,414.82074895138794,29.47548671862772,29.449975321575252,29.705015552552176,0.12627337107090175,0.0006304676583026236,0.12555534406006855,0.1267363911960646,1.0
2,1,3,2048,256,4,3,48,989.7730035208951,1001.5986579983291,1573.6886830485673,33.726959507843205,33.772075221571086,36.04278443117758,0.4170694291044519,8.90190184190273e-05,0.4170074959282402,0.4171714421344358,1.0
2,1,3,2048,1024,1,3,24,393.6120786670472,393.2079394999164,412.4129776017071,29.51767002378618,29.5208574012703,29.63907604677264,0.032689888275873526,4.47180165985604e-06,0.032685148668783526,0.03269403265079196,1.0
2,1,3,2048,1024,4,3,48,947.4605696460306,948.4445119996963,1499.636682950404,32.25386104850918,32.30817577859284,32.801784218474246,0.11784220591512184,0.00023515371172801468,0.11757948210236169,0.11803297671642546,1.0
2,1,3,8192,256,1,3,24,2120.1074733752043,2115.3000325011817,2184.104256199862,30.229853491339608,30.234904913716793,30.367648408634217,0.10173953026788708,1.7106491020141995e-05,0.10172306016164209,0.10175720903506874,1.0
2,1,3,8192,256,4,3,48,5298.11117739564,5283.055467998565,8523.152448848668,45.47045260710755,45.49692195098175,58.16313982608014,0.23678134891100888,0.0015749756379703236,0.2357489442855535,0.2385941443662465,1.0
2,2,4,512,128,1,3,24,99.27317783315932,98.16319349920377,107.99610619833402,32.81437995833597,32.634216881881116,34.11604808031306,0.23436460282457866,0.0015625635538894646,0.23259508912420823,0.23555468050290157,1.0
2,2,4,512,128,4,3,48,225.67371829169738,228.84271499970055,359.55444980045286,34.948665567420775,34.97791090944881,36.02853078149579,0.8575218987357357,0.0012163528167550436,0.8561399207653211,0.8584299518630633,1.0
2,2,4,2048,256,1,3,24,329.6509389997482,330.53739949900773,335.65564900000027,32.79149719215532,32.72572593529071,33.48893679921685,0.1150533834127494,0.0005250564509590192,0.11472480166473523,0.1156589336241621,1.0
2,2,4,2048,256,4,3,48,797.5285361665101,797.2493854995264,1265.0868129498122,35.77526064419913,35.89376252744913,37.731003705884376,0.40319841182506183,0.0010757681295547757,0.4019955644824921,0.4040684351453049,1.0
2,2,4,2048,1024,1,3,24,343.22529133335894,340.2269444995909,360.83483070015063,32.4943104314517,32.31744527614845,33.6722736490712,0.02977548652616386,0.00014846062658668645,0.02967541068924416,0.02994606148372426,1.0
2,2,4,2048,1024,4,3,48,817.3697859792052,817.328090499359,1288.6313496001094,34.26486983795616,34.21162637341152,35.40726641041109,0.11151649327358569,0.0009653267728707025,0.11043239973434774,0.1122830654917798,1.0
2,2,4,8192,256,1,3,24,1833.179693916918,1832.2617020021426,1870.6620934495731,33.03360815604654,32.658082205885236,35.665643532936194,0.097499072380003,0.0008483303299972172,0.09698947856754465,0.09847836908507362,1.0
2,2,4,8192,256,4,3,48,4581.713254375093,4559.932742000456,7355.894838551467,44.91961970482056,45.129348592151885,55.811018102750836,0.24942669344288193,2.6808380381163574e-05,0.24939699357355044,0.2494491016564477,1.0
