topology,observed_time_ns,gpu_index,role,dcgm_1001_gr_active,dcgm_1002_sm_active,dcgm_1005_dram_active,dcgm_1009_pcie_tx_bytes,dcgm_1010_pcie_rx_bytes,dcgm_155_power,dcgm_100_sm_clock,dcgm_101_mem_clock,dcgm_203_gpu_util,dcgm_204_mem_util,dcgm_252_fb_used
tp_1_1,1788598530517685089,0,enterprise,0.0,0.0,0.0,6322723.0,4521415.0,92.705,1695.0,6251.0,0.0,0.0,3476.0
tp_1_1,1788598530517697047,1,unused,0.0,0.0,0.0,14413537.0,8288655.0,25.335,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598530517708873,2,cloud,0.0,0.0,0.0,5814433.0,4184524.0,105.993,1695.0,6251.0,0.0,0.0,7854.0
tp_1_1,1788598530517715398,3,unused,0.0,0.0,0.0,11831376.0,7367344.0,44.371,930.0,6251.0,0.0,0.0,0.0
tp_1_1,1788598531519844378,0,enterprise,0.052,0.045,0.041,13898295.0,9128965.0,97.179,1695.0,6251.0,15.0,15.0,3476.0
tp_1_1,1788598531519865747,1,unused,0.0,0.0,0.0,3415529.0,2485510.0,25.316,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598531519871946,2,cloud,0.127,0.105,0.092,8625405.0,14132619.0,119.622,1680.0,6251.0,32.0,31.0,7888.0
tp_1_1,1788598531519881241,3,unused,0.0,0.0,0.0,6049183.0,3435105.0,48.728,930.0,6251.0,0.0,0.0,0.0
tp_1_1,1788598532520818447,0,enterprise,0.145,0.126,0.119,23634571.0,9840277.0,110.985,1695.0,6251.0,15.0,15.0,3476.0
tp_1_1,1788598532520854426,1,unused,0.0,0.0,0.0,475852.0,266579.0,25.134,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598532520862857,2,cloud,0.317,0.261,0.245,6635059.0,23976913.0,117.553,1665.0,6251.0,31.0,30.0,7888.0
tp_1_1,1788598532520875932,3,unused,0.0,0.0,0.0,484578.0,271199.0,26.984,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598533521465021,0,enterprise,0.145,0.126,0.119,23646614.0,9855867.0,123.224,1695.0,6251.0,15.0,15.0,3476.0
tp_1_1,1788598533521485236,1,unused,0.0,0.0,0.0,463388.0,260848.0,25.165,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598533521492165,2,cloud,0.319,0.263,0.246,6601132.0,24115153.0,126.782,1605.0,6251.0,32.0,31.0,7888.0
tp_1_1,1788598533521508715,3,unused,0.0,0.0,0.0,482833.0,270059.0,24.762,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598534522364146,0,enterprise,0.145,0.126,0.119,23686619.0,9860814.0,119.882,1695.0,6251.0,14.0,15.0,3476.0
tp_1_1,1788598534522401462,1,unused,0.0,0.0,0.0,464959.0,261380.0,25.265,210.0,405.0,0.0,0.0,0.0
tp_1_1,1788598534522417859,2,cloud,0.319,0.263,0.246,6660022.0,24125444.0,141.536,1680.0,6251.0,32.0,31.0,7888.0
tp_1_1,1788598534522423864,3,unused,0.0,0.0,0.0,480322.0,269062.0,24.762,210.0,405.0,0.0,0.0,0.0
