topology,isl,osl,requested_concurrency,actual_batch_size,phase,unique_batches,enterprise_front_prefill_ms_mean,enterprise_front_decode_ms_mean,cloud_middle_prefill_ms_mean,cloud_middle_decode_ms_mean,enterprise_back_prefill_ms_mean,enterprise_back_decode_ms_mean,upload_bytes_mean,download_bytes_mean,upload_ms_mean,download_ms_mean,rpc_wall_ms_mean,cloud_queue_ms_mean,enterprise_stage_pack_ms_mean,enterprise_receive_ms_mean,cloud_receive_ms_mean,cloud_d2h_ms_mean,step_wall_ms_mean
tp_1_1,512,128,1,1,decode,127,,2.4581880832281637,,13.93567493018203,,4.262733605902965,8477,8658.661417322835,5.429594448818897,5.379680110236221,25.601726803182913,0.03604714151524103,0.10434700789477303,0.10448352757870681,0.07632277184349345,0.07539139365031215,33.48195216519136
tp_1_1,512,128,1,1,prefill,1,13.252960205078125,,37.31180953979492,,7.376863956451416,,4194600,4194776,98.431933,90.201171,246.66455700207734,0.30491099823848344,7.949235998239601,0.5895360112190247,0.505952000617981,2.3628010021639057,278.09328500006814
tp_1_1,512,128,4,1,prefill,4,4.767967939376831,,30.225759983062744,,7.365695953369141,,4194600,4194778,16.654342,20.11041725,82.22841850056284,0.07425550120387925,4.5279484993443475,0.6196320056915283,0.5376400053501129,0.5234000000200467,101.36859650083352
tp_1_1,512,128,4,4,decode,127,,2.540613797705943,,14.315586525624193,,4.3678404853099915,33292,33237.40157480315,5.476963748031496,5.441351637795275,26.170287094334245,0.043046677106529416,0.11986691317260706,0.11046828329563141,0.08301253546410658,0.07195658258214688,34.75816821266176
tp_1_1,2048,256,1,1,decode,255,,2.4489789504630894,,13.864042678533815,,4.256430296804391,8478,8659.529411764706,5.472797176470588,5.40103611372549,25.612880890049365,0.04295761571163038,0.10423409795632824,0.10406036090617087,0.0756810041034923,0.0705021175877739,33.48187589437265
tp_1_1,2048,256,1,1,prefill,1,17.835840225219727,,145.17587280273438,,22.953535079956055,,16777515,16777691,54.579984,66.314851,351.1912410031073,0.10009299876401201,31.908348999422742,1.6326080560684204,1.408031940460205,8.369162998860702,432.3190159993828
tp_1_1,2048,256,4,1,prefill,4,18.797943592071533,,145.8777198791504,,22.942448139190674,,16777515,16777692,57.23504025,67.6744925,341.6414462508328,0.0977000008788309,23.706238749582553,1.794944018125534,1.4364479780197144,1.4819807511230465,412.95613325019076
tp_1_1,2048,256,4,4,decode,255,,2.532094621658325,,14.391509437561036,,4.3538474569133685,33296,33237.47843137255,5.4740555490196074,5.440743156862745,26.259286995970314,0.0405181215861447,0.11884367851570121,0.11050478450807871,0.08366117635193993,0.07840411748403829,34.83023413740311
tp_1_1,2048,1024,1,1,decode,1023,,2.4686502937231127,,13.834220421978456,,4.293321264104759,8478,8659.700879765396,5.4526704780058655,5.399222778103617,25.525279418352216,0.04035813001588529,0.10627625713908712,0.1054425024639593,0.07602565018196143,0.07242947414188868,33.437182867059796
tp_1_1,2048,1024,1,1,prefill,1,17.04150390625,,144.2552947998047,,22.862112045288086,,16777515,16777692,98.858132,65.464867,370.5204859979858,0.09691300147096626,7.890735996625153,1.7746880054473877,1.3973439931869507,1.6391829994972795,424.160930000653
tp_1_1,2048,1024,4,1,prefill,4,18.70039987564087,,143.0519790649414,,22.867208003997803,,16777515,16777692.75,50.52433125,66.91583849999999,326.1567752497285,0.09398275142302737,17.170233500110044,1.7606239914894104,1.4473679959774017,1.4130580002529314,390.78441399942676
tp_1_1,2048,1024,4,4,decode,1023,,2.5298336025323804,,14.230801647592733,,4.353483481141479,33296,33237.560117302055,5.481394744868036,5.430466038123167,26.08113670970441,0.04352664709248114,0.11872008602067856,0.10991361877086225,0.08222554841844451,0.0770645278120149,34.62694206451845
tp_1_1,8192,256,1,1,decode,255,,2.477843453837376,,13.844509248172535,,4.316029215793984,8478,8659.815686274509,5.427183078431373,5.389627662745098,25.557141360788556,0.03682239982356573,0.10620955296212296,0.10463623500922146,0.07719818038098952,0.07075580389366723,33.56074279611622
tp_1_1,8192,256,1,1,prefill,1,96.38384246826172,,725.6212768554688,,121.0436782836914,,67109165,67109340,332.988822,376.404334,1803.5584060016845,0.09409799895365722,139.71312799912994,6.650784015655518,6.556960105895996,34.46558399809874,2191.262382999412
tp_1_1,8192,256,4,1,prefill,4,99.77820014953613,,716.996826171875,,122.02112007141113,,67109165,67109341.25,357.23333525,390.12530175,1833.2143895004265,0.12261525080248248,127.73701649894065,6.773367881774902,6.325440049171448,31.888819499727106,2205.880271998467
tp_1_1,8192,256,4,4,decode,255,,2.5619286611968395,,14.173736157136805,,4.383869978960822,33296,33238.5568627451,5.467455976470588,5.486076466666667,26.173163898056373,0.040366651042930635,0.12354909808445703,0.11076668229173212,0.08317151350133559,0.07736031386907687,34.90559349406349
tp_1_2,512,128,1,1,decode,127,,2.425276974054772,,17.817496277215913,,4.231624314165491,8477,8657.968503937007,5.43237637007874,5.388368307086614,29.67879073230864,0.03896110247010292,0.10213592123170566,0.10215533829814806,0.2607541417512368,0.07242758261767678,37.44071839365482
tp_1_2,512,128,1,1,prefill,1,12.921343803405762,,34.50102233886719,,7.275936126708984,,4194600,4194775,98.453517,90.258107,244.0068739997514,0.3149010008201003,8.429781002632808,0.5743680000305176,0.7841280102729797,2.356387998588616,275.39232799972524
tp_1_2,512,128,4,1,prefill,4,4.715271949768066,,25.94202423095703,,7.296159982681274,,4194600,4194777,16.67598175,19.94907825,76.93681825003296,0.0874087490956299,4.515693000030296,0.579352006316185,0.8183840066194534,0.5658245008817175,95.86312625015125
tp_1_2,512,128,4,4,decode,127,,2.5322280286803958,,18.193454922653558,,4.345848924531712,33292,33237.07086614173,5.464632559055118,5.436105039370079,30.226353031590463,0.04107962210876244,0.12879411808644076,0.10967710268075072,0.26926966950180026,0.08638710994456755,38.735513086539584
tp_1_2,2048,256,1,1,decode,255,,2.460056717255536,,17.9129778918098,,4.28807767793244,8478,8658.980392156862,5.446056945098039,5.400664850980392,29.82206091381194,0.040489933370754086,0.10329175309058936,0.1045714823346512,0.2567648619997735,0.08121999997848772,37.703700152961375
tp_1_2,2048,256,1,1,prefill,1,17.71107292175293,,99.6304931640625,,22.949119567871094,,16777515,16777689,60.381173,67.432758,296.5049849990464,0.1046799989126157,32.072789002995705,1.5160640478134155,2.170111894607544,1.4620830006606411,377.2954870000831
tp_1_2,2048,256,4,1,prefill,4,19.067863941192627,,98.72387886047363,,22.998216152191162,,16777515,16777691.75,56.244076,67.84188425,286.1138257494531,0.11203200028830906,24.185821249375294,1.6805279850959778,2.0410959720611572,1.4167592498779413,358.14089574978425
tp_1_2,2048,256,4,4,decode,255,,2.5377943861718273,,18.38316072950176,,4.358400124194575,33296,33236.87450980392,5.4679899333333335,5.444909239215686,30.46965533726239,0.04440604324747041,0.1163700235409516,0.11008351366309559,0.2678361097971598,0.08452663139049786,39.00815940003525
tp_1_2,2048,1024,1,1,decode,1023,,2.4836784043037063,,18.194258308597092,,4.29264334522967,8478,8658.999022482893,5.433468816226784,5.412086032258064,30.121822874858065,0.037879251210488525,0.10621175357711411,0.10651827181888815,0.2597272023340125,0.08283478885709594,38.08926236950388
tp_1_2,2048,1024,1,1,prefill,1,17.095775604248047,,99.00153350830078,,22.955808639526367,,16777515,16777692,89.24944,74.22985,335.1479320008366,0.08843300020089373,7.392831998004112,1.6958719491958618,2.0865280628204346,1.4695320023747627,388.1164500016894
