Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
33.7,84115007575,3320,25335845.7,25372744.0,24675681,30268269,427073.3,PushPop,:cloud_and_wan_wait_decode
5.8,14456203947,3320,4354278.3,4331039.5,4161994,9519590,139343.7,PushPop,:enterprise_back_decode
3.5,8857488232,20,442874411.6,243343083.0,57815294,1228576000,464176646.3,PushPop,:cloud_and_wan_wait_prefill
3.4,8444616520,3320,2543559.2,2534779.5,2406462,3654476,73453.1,PushPop,:enterprise_front_decode
0.9,2271035289,20,113551764.5,47880341.5,10400727,363298485,132283199.3,PushPop,:wan_upload_prefill
0.9,2250972048,1,2250972048.0,2250972048.0,2250972048,2250972048,0.0,PushPop,:batch=b6fb650a5c50459ab304bbfe50c57084 phase=prefill requests=170917df0fbc4e4882d20cba4027852d
0.9,2205088214,1,2205088214.0,2205088214.0,2205088214,2205088214,0.0,PushPop,:batch=10be7ae56cae4b95b90326542205a0c6 phase=prefill requests=a0c18c3cbc30454e9dc8e0fc5a70b6ce
0.9,2187996439,1,2187996439.0,2187996439.0,2187996439,2187996439,0.0,PushPop,:batch=914b3dce36194e3a804849df049454b0 phase=prefill requests=9b9bd82b962346698bf6968601911458
0.9,2179154936,1,2179154936.0,2179154936.0,2179154936,2179154936,0.0,PushPop,:batch=ace4e1c597534e688a3caa142ae435ae phase=prefill requests=b1b40efdf42a49e9a024a5a0f1bf45e1
0.9,2175857447,1,2175857447.0,2175857447.0,2175857447,2175857447,0.0,PushPop,:batch=5d7804ede78a46978fa648639c6492d9 phase=prefill requests=f57feb390ff741e487db3ca8e2290b12
0.7,1786694206,20,89334710.3,41990052.0,10292928,263453279,94217409.5,PushPop,:wan_download_prefill
0.4,875692311,20,43784615.5,22912675.5,7382012,123400706,46706889.2,PushPop,:enterprise_back_prefill
0.3,713701680,20,35685084.0,18667810.5,4766483,102265699,38006307.3,PushPop,:enterprise_front_prefill
0.2,581410689,3340,174075.1,155564.0,138787,7027498,278128.1,PushPop,:enterprise_receive
0.2,431336520,1,431336520.0,431336520.0,431336520,431336520,0.0,PushPop,:batch=a29eb6ae5c67450b935f52a68eb7eed6 phase=prefill requests=50145c19059c448b9be20d4006a3b83e
0.2,431143518,1,431143518.0,431143518.0,431143518,431143518,0.0,PushPop,:batch=ccce38ab5ad24e9690e70827d5938c6f phase=prefill requests=01fc6543d43c4d75a43f86af9f34816d
0.2,423008368,1,423008368.0,423008368.0,423008368,423008368,0.0,PushPop,:batch=9ae3bde948b84d459034a5bf310f77d4 phase=prefill requests=b4e0239eac314a4889c1d16d6bae5c25
0.2,408311466,1,408311466.0,408311466.0,408311466,408311466,0.0,PushPop,:batch=0992b97d0cb94bf68f5dfdce41a2c955 phase=prefill requests=d78b5171e5344afb85dc62d2fb96a949
0.2,405766291,1,405766291.0,405766291.0,405766291,405766291,0.0,PushPop,:batch=afb26a78092543a6ab6869628be16b1d phase=prefill requests=dda7bf958f80408c9c3d9a541b39209a
0.2,401699638,1,401699638.0,401699638.0,401699638,401699638,0.0,PushPop,:batch=8ef539559d26440d9be4683ed84ebdeb phase=prefill requests=1e364acea4d9441cbb3b7b5a16e18cfc
