Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
44.3,46609714825,3320,14039070.7,14084211.5,13570191,20800529,408367.8,PushPop,:cloud_middle_decode
5.0,5214689804,20,260734490.2,144555313.0,30000236,726568274,277586218.2,PushPop,:cloud_middle_prefill
0.7,767347941,1,767347941.0,767347941.0,767347941,767347941,0.0,PushPop,:batch=1a343eab9b0046d8a5a4fa302f92ff7e phase=prefill requests=c32ea2e6dfe246c7b1d1bcd75bdf1352
0.7,766846614,1,766846614.0,766846614.0,766846614,766846614,0.0,PushPop,:batch=aab9e5b814474bb98d70afba82c4aa67 phase=prefill requests=27a46174d58b41ae88fc7ab1bc430726
0.7,761588424,1,761588424.0,761588424.0,761588424,761588424,0.0,PushPop,:batch=8eefbdfaf86d4d56918cabce00da36c8 phase=prefill requests=a6c55e2fb57a42fcad95f0f0ed13fb67
0.7,759150978,1,759150978.0,759150978.0,759150978,759150978,0.0,PushPop,:batch=8e9c8d4e5de3402d91ecca520a0b58a3 phase=prefill requests=289772dec3794c42ba39f95aab480cf0
0.7,746652135,1,746652135.0,746652135.0,746652135,746652135,0.0,PushPop,:batch=bb82423d40a24d61be72c648349a0cef phase=prefill requests=2f6c8d07d5254b3bbd541a92b8991e0c
0.4,449480774,3340,134575.1,117161.0,106200,6611360,261532.1,PushPop,:cloud_receive
0.1,155313356,1,155313356.0,155313356.0,155313356,155313356,0.0,PushPop,:batch=87843695880e4efd83dc77dbf2a2b1c8 phase=prefill requests=4476c834d2c74939a2137fc12011cce6
0.1,149984129,1,149984129.0,149984129.0,149984129,149984129,0.0,PushPop,:batch=8526f6fe83d84c09a032d70a6bbcf81d phase=prefill requests=35a32d997e474bd68ad9013283f86e34
0.1,149592176,1,149592176.0,149592176.0,149592176,149592176,0.0,PushPop,:batch=0caf82911f904fabafc740a6f1c9b379 phase=prefill requests=c49893a76af642e1a167f5b144aaaf70
0.1,148543857,1,148543857.0,148543857.0,148543857,148543857,0.0,PushPop,:batch=3af32c5e06854caaa54ea32dd89473de phase=prefill requests=cd5fecee34f948638c647990ec91030b
0.1,147873840,1,147873840.0,147873840.0,147873840,147873840,0.0,PushPop,:batch=39afbbd12a3246bface49e0dbaae44fc phase=prefill requests=b39ea7d952b145c49e6a60c3a2118d53
0.1,147848939,1,147848939.0,147848939.0,147848939,147848939,0.0,PushPop,:batch=d67ea723ccb64b5ea1175ac91f0b0f33 phase=prefill requests=1f20454d5b254aab91e0c16e39a9468c
0.1,147639008,1,147639008.0,147639008.0,147639008,147639008,0.0,PushPop,:batch=d9ba3d11624645238fec175b41b00c4d phase=prefill requests=515c00b23a884b6f83de25681483ca4d
0.1,146759581,1,146759581.0,146759581.0,146759581,146759581,0.0,PushPop,:batch=2ae6e7be04504816af3e47cc7922dcde phase=prefill requests=e9513d939410436d93ae048bcfd8558c
0.1,146581638,1,146581638.0,146581638.0,146581638,146581638,0.0,PushPop,:batch=4ba82bd9e06342d984aee2658e103cbd phase=prefill requests=e94e65340f67444d8988e7419ad29a5d
0.1,146097121,1,146097121.0,146097121.0,146097121,146097121,0.0,PushPop,:batch=1347fbdaf6504d8a85f0daf628e60c42 phase=prefill requests=1ea947e0213e4ec79fb54a16479c4f3b
0.0,39875028,1,39875028.0,39875028.0,39875028,39875028,0.0,PushPop,:batch=8a76a1c16d594bb98f7b736a376373d8 phase=prefill requests=da9f257481364027b9eb07c5291bb1d2
0.0,31370663,1,31370663.0,31370663.0,31370663,31370663,0.0,PushPop,:batch=c90898df6956402fa51a907256351ee2 phase=prefill requests=06908cb4b9a54cb3913b92340a96329a
0.0,31326676,1,31326676.0,31326676.0,31326676,31326676,0.0,PushPop,:batch=16049d74d72b407f965405a262128880 phase=prefill requests=f8dd7e2b7db74466b3dd25169f9b9af0
0.0,31215572,1,31215572.0,31215572.0,31215572,31215572,0.0,PushPop,:batch=9611999e53204866819d0c9089ac123b phase=prefill requests=248bd58545de491d8813e6a095003668
0.0,31190127,1,31190127.0,31190127.0,31190127,31190127,0.0,PushPop,:batch=dc3c1f8067014236968514cb01f6a412 phase=prefill requests=6aaa53a6b6a24c078350a21ac7f27af1
0.0,22383456,1,22383456.0,22383456.0,22383456,22383456,0.0,PushPop,":batch=6c42f77362864d50b4ade614eae49792 phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,21463349,1,21463349.0,21463349.0,21463349,21463349,0.0,PushPop,":batch=ee257b02cae74489a0e7c90e4e04cbf0 phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,20923836,1,20923836.0,20923836.0,20923836,20923836,0.0,PushPop,":batch=c05291dd283045a0850ebd024d7fc77a phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,20590487,1,20590487.0,20590487.0,20590487,20590487,0.0,PushPop,":batch=b123b6f55aa34ff7b7f35992cc472bd1 phase=decode requests=1f20454d5b254aab91e0c16e39a9468c,cd5fecee34f948638c647990ec91030b,515c00b23a884b6f83de25681483ca4d,b39ea7d952b145c49e6a60c3a2118d53"
0.0,20213998,1,20213998.0,20213998.0,20213998,20213998,0.0,PushPop,":batch=6f5a2045b5544e6ca4ae463f0293e376 phase=decode requests=1f20454d5b254aab91e0c16e39a9468c,cd5fecee34f948638c647990ec91030b,515c00b23a884b6f83de25681483ca4d,b39ea7d952b145c49e6a60c3a2118d53"
0.0,20186660,1,20186660.0,20186660.0,20186660,20186660,0.0,PushPop,":batch=fa1a5ac2242e41bd8b73bd595feb17e7 phase=decode requests=1f20454d5b254aab91e0c16e39a9468c,cd5fecee34f948638c647990ec91030b,515c00b23a884b6f83de25681483ca4d,b39ea7d952b145c49e6a60c3a2118d53"
0.0,19646074,1,19646074.0,19646074.0,19646074,19646074,0.0,PushPop,:batch=ab4f78dc2e034db09fd37a4933c71f5a phase=decode requests=4476c834d2c74939a2137fc12011cce6
0.0,19312419,1,19312419.0,19312419.0,19312419,19312419,0.0,PushPop,:batch=bec0e697c7b14733b43efb6c53551a02 phase=decode requests=4476c834d2c74939a2137fc12011cce6
0.0,18907878,1,18907878.0,18907878.0,18907878,18907878,0.0,PushPop,":batch=772577f24af94792af4e81eb027082b7 phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,18518849,1,18518849.0,18518849.0,18518849,18518849,0.0,PushPop,":batch=c1ceea6142e24ba2b0cdfbc644fe8347 phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,18481801,1,18481801.0,18481801.0,18481801,18481801,0.0,PushPop,":batch=c40d1ad31233492baf236bb2ff88b3fe phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,18254421,1,18254421.0,18254421.0,18254421,18254421,0.0,PushPop,":batch=18cad096ef91494c92ef12add4520309 phase=decode requests=1f20454d5b254aab91e0c16e39a9468c,cd5fecee34f948638c647990ec91030b,515c00b23a884b6f83de25681483ca4d,b39ea7d952b145c49e6a60c3a2118d53"
0.0,17854341,1,17854341.0,17854341.0,17854341,17854341,0.0,PushPop,":batch=9869b85730b14bc48584bf35d5288397 phase=decode requests=1f20454d5b254aab91e0c16e39a9468c,cd5fecee34f948638c647990ec91030b,515c00b23a884b6f83de25681483ca4d,b39ea7d952b145c49e6a60c3a2118d53"
0.0,17673381,1,17673381.0,17673381.0,17673381,17673381,0.0,PushPop,":batch=fc31b4f0949a4ee2aff26b9926711704 phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
0.0,17667444,1,17667444.0,17667444.0,17667444,17667444,0.0,PushPop,":batch=271bb4fc3bc24ce5957ef33c579f0626 phase=decode requests=e9513d939410436d93ae048bcfd8558c,35a32d997e474bd68ad9013283f86e34,e94e65340f67444d8988e7419ad29a5d,1ea947e0213e4ec79fb54a16479c4f3b"
