#Entity         GRACT        SMACT        DRAMA        PCITX                       PCIRX                       POWER             SMCLK        MMCLK        GPUTL             MCUTL             FBUSD             
ID                                                                                                              W                                                                                                
GPU 0           0.000        0.000        0.000        368211                      200935                      92.652            1695         6251         0                 0                 2042              
GPU 1           0.000        0.000        0.000        350871                      191755                      85.609            1695         6251         0                 0                 2042              
GPU 2           0.000        0.000        0.000        360047                      196343                      108.096           1695         6251         0                 0                 4240              
GPU 3           0.000        0.000        0.000        359535                      196342                      86.669            1695         6251         0                 0                 4240              
GPU 0           0.000        0.000        0.000        490007                      289503                      92.702            1695         6251         0                 0                 2042              
GPU 1           0.000        0.000        0.000        495529                      293021                      85.559            1695         6251         0                 0                 2042              
GPU 2           0.000        0.000        0.000        502151                      295563                      108.146           1695         6251         0                 0                 4240              
GPU 3           0.000        0.000        0.000        511331                      300151                      86.670            1695         6251         0                 0                 4240              
GPU 0           0.000        0.000        0.000        405779                      230927                      92.702            1695         6251         0                 0                 2042              
GPU 1           0.000        0.000        0.000        392557                      223808                      85.609            1695         6251         0                 0                 2042              
GPU 2           0.000        0.000        0.000        400740                      227901                      108.245           1695         6251         0                 0                 4240              
GPU 3           0.000        0.000        0.000        409410                      232491                      86.670            1695         6251         0                 0                 4240              
GPU 0           0.000        0.000        0.000        398168                      226869                      92.653            1695         6251         0                 0                 2042              
GPU 1           0.000        0.000        0.000        391552                      223816                      85.708            1695         6251         0                 0                 2042              
GPU 2           0.000        0.000        0.000        399706                      227894                      108.245           1695         6251         0                 0                 4240              
GPU 3           0.000        0.000        0.000        417575                      236575                      86.669            1695         6251         0                 0                 4240              
GPU 0           0.000        0.000        0.000        523545                      319123                      92.626            1695         6251         0                 0                 2042              
GPU 1           0.000        0.000        0.000        490221                      298617                      85.659            1695         6251         0                 0                 2042              
GPU 2           0.000        0.000        0.000        504529                      305775                      108.253           1695         6251         0                 0                 4240              
GPU 3           0.000        0.000        0.000        529033                      318031                      86.627            1695         6251         0                 0                 4240              
GPU 0           0.000        0.000        0.000        659706                      420091                      92.649            1695         6251         0                 0                 2042              
GPU 1           0.000        0.000        0.000        685045                      436633                      85.629            1695         6251         0                 0                 2042              
GPU 2           0.000        0.000        0.000        709014                      448362                      108.253           1695         6251         0                 0                 4240              
GPU 3           0.000        0.000        0.000        769425                      478787                      86.633            1695         6251         0                 0                 4240              
GPU 0           0.000        0.000        0.000        451239                      264115                      92.748            1695         6251         0                 0                 2042              
