time_ns,index,uuid,utilization.gpu,utilization.memory,memory.used,power.draw,clocks.sm,clocks.mem,pcie.link.gen.current,pcie.link.width.current
1788601119588667404,0, GPU-802127bb-b328-68d6-e48f-e51afb5920f9, 0, 0, 2043, 92.65, 1695, 6251, 4, 16
1788601119588667404,1, GPU-224db1d2-1350-b7e8-aaae-d2c8a9affe9b, 0, 0, 2043, 85.61, 1695, 6251, 4, 16
1788601119588667404,2, GPU-91d88df5-cace-4949-4891-781ebdfd04b3, 0, 0, 4241, 108.10, 1695, 6251, 4, 16
1788601119588667404,3, GPU-02e0fba0-24a5-f27a-4837-013c42c74c40, 0, 0, 4241, 86.67, 1695, 6251, 4, 16
1788601120588734714,0, GPU-802127bb-b328-68d6-e48f-e51afb5920f9, 0, 0, 2043, 92.70, 1695, 6251, 4, 16
1788601120588734714,1, GPU-224db1d2-1350-b7e8-aaae-d2c8a9affe9b, 0, 0, 2043, 85.56, 1695, 6251, 4, 16
1788601120588734714,2, GPU-91d88df5-cace-4949-4891-781ebdfd04b3, 0, 0, 4241, 108.15, 1695, 6251, 4, 16
1788601120588734714,3, GPU-02e0fba0-24a5-f27a-4837-013c42c74c40, 0, 0, 4241, 86.67, 1695, 6251, 4, 16
1788601121588801369,0, GPU-802127bb-b328-68d6-e48f-e51afb5920f9, 0, 0, 2043, 92.70, 1695, 6251, 4, 16
1788601121588801369,1, GPU-224db1d2-1350-b7e8-aaae-d2c8a9affe9b, 0, 0, 2043, 85.61, 1695, 6251, 4, 16
1788601121588801369,2, GPU-91d88df5-cace-4949-4891-781ebdfd04b3, 0, 0, 4241, 108.25, 1695, 6251, 4, 16
1788601121588801369,3, GPU-02e0fba0-24a5-f27a-4837-013c42c74c40, 0, 0, 4241, 86.67, 1695, 6251, 4, 16
1788601122588854164,0, GPU-802127bb-b328-68d6-e48f-e51afb5920f9, 0, 0, 2043, 92.65, 1695, 6251, 4, 16
1788601122588854164,1, GPU-224db1d2-1350-b7e8-aaae-d2c8a9affe9b, 0, 0, 2043, 85.71, 1695, 6251, 4, 16
1788601122588854164,2, GPU-91d88df5-cace-4949-4891-781ebdfd04b3, 0, 0, 4241, 108.25, 1695, 6251, 4, 16
1788601122588854164,3, GPU-02e0fba0-24a5-f27a-4837-013c42c74c40, 0, 0, 4241, 86.67, 1695, 6251, 4, 16
1788601123588921456,0, GPU-802127bb-b328-68d6-e48f-e51afb5920f9, 0, 0, 2043, 92.63, 1695, 6251, 4, 16
1788601123588921456,1, GPU-224db1d2-1350-b7e8-aaae-d2c8a9affe9b, 0, 0, 2043, 85.66, 1695, 6251, 4, 16
1788601123588921456,2, GPU-91d88df5-cace-4949-4891-781ebdfd04b3, 0, 0, 4241, 108.25, 1695, 6251, 4, 16
1788601123588921456,3, GPU-02e0fba0-24a5-f27a-4837-013c42c74c40, 0, 0, 4241, 86.63, 1695, 6251, 4, 16
1788601124588986356,0, GPU-802127bb-b328-68d6-e48f-e51afb5920f9, 0, 0, 2043, 92.65, 1695, 6251, 4, 16
1788601124588986356,1, GPU-224db1d2-1350-b7e8-aaae-d2c8a9affe9b, 0, 0, 2043, 85.63, 1695, 6251, 4, 16
1788601124588986356,2, GPU-91d88df5-cace-4949-4891-781ebdfd04b3, 0, 0, 4241, 108.25, 1695, 6251, 4, 16
1788601124588986356,3, GPU-02e0fba0-24a5-f27a-4837-013c42c74c40, 0, 0, 4241, 86.63, 1695, 6251, 4, 16
1788601125589052434,0, GPU-802127bb-b328-68d6-e48f-e51afb5920f9, 0, 0, 2043, 92.75, 1695, 6251, 4, 16
1788601125589052434,1, GPU-224db1d2-1350-b7e8-aaae-d2c8a9affe9b, 0, 0, 2043, 85.68, 1695, 6251, 4, 16
1788601125589052434,2, GPU-91d88df5-cace-4949-4891-781ebdfd04b3, 0, 0, 4241, 108.25, 1695, 6251, 4, 16
1788601125589052434,3, GPU-02e0fba0-24a5-f27a-4837-013c42c74c40, 0, 0, 4241, 86.68, 1695, 6251, 4, 16
1788601126589116914,0, GPU-802127bb-b328-68d6-e48f-e51afb5920f9, 10, 7, 2043, 96.79, 1695, 6251, 4, 16
1788601126589116914,1, GPU-224db1d2-1350-b7e8-aaae-d2c8a9affe9b, 10, 7, 2043, 87.92, 1695, 6251, 4, 16
1788601126589116914,2, GPU-91d88df5-cace-4949-4891-781ebdfd04b3, 20, 16, 4241, 116.46, 1695, 6251, 4, 16
1788601126589116914,3, GPU-02e0fba0-24a5-f27a-4837-013c42c74c40, 42, 16, 4241, 93.08, 1695, 6251, 4, 16
1788601127589170355,0, GPU-802127bb-b328-68d6-e48f-e51afb5920f9, 9, 8, 2043, 100.38, 1695, 6251, 4, 16
1788601127589170355,1, GPU-224db1d2-1350-b7e8-aaae-d2c8a9affe9b, 13, 9, 2043, 95.15, 1695, 6251, 4, 16
1788601127589170355,2, GPU-91d88df5-cace-4949-4891-781ebdfd04b3, 20, 16, 4241, 128.90, 1695, 6251, 4, 16
1788601127589170355,3, GPU-02e0fba0-24a5-f27a-4837-013c42c74c40, 42, 16, 4241, 105.47, 1695, 6251, 4, 16
1788601128589223392,0, GPU-802127bb-b328-68d6-e48f-e51afb5920f9, 10, 7, 2043, 102.57, 1695, 6251, 4, 16
1788601128589223392,1, GPU-224db1d2-1350-b7e8-aaae-d2c8a9affe9b, 11, 7, 2043, 94.64, 1695, 6251, 4, 16
1788601128589223392,2, GPU-91d88df5-cace-4949-4891-781ebdfd04b3, 19, 15, 4241, 129.38, 1695, 6251, 4, 16
